test_id,세트,유형,난이도,family,pass_fail,actual_route,response_status,postgres_used,enterprise_rag_used,latency_ms,failure_reasons,user_query,기대_답변,response_text
Test 1,1차 마스터,제도·세제 기본,하,Document,PASS,document+calculation,success,False,True,17045.2,[],연금저축계좌와 IRP 계좌에 개인이 납입할 수 있는 연간 총 한도와 그중 세액공제를 받을 수 있는 최대 한도는 각각 얼마인가요? 두 계좌를 모두 보유하고 있는 경우를 기준으로 알려주세요.,"두 계좌 합산 연간 납입 한도는 1,800만 원. 세액공제 최대 한도는 합산 900만 원. 연금저축만으로는 최대 600만 원까지 세액공제되며, 총 900만 원을 채우려면 나머지 300만 원을 IRP에 납입해야 함.","연금저축과 IRP를 합한 연간 납입 한도는 18,000,000원입니다. 세액공제 대상 납입액 한도는 합산 연 9,000,000원이며, 이 중 연금저축 납입액은 연 6,000,000원까지 세액공제 대상에 포함됩니다. 합산 한도 9,000,000원을 채우려면 나머지 3,000,000원을 IRP에 납입해야 합니다. 지방소득세를 포함한 실효 공제율은 소득구간에 따라 약 16.5% 또는 약 13.2%가 적용됩니다. 실제 공제세액은 소득구간과 실제 납입액에 따라 달라집니다."
Test 2,1차 마스터,잘못된 전제 교정,중,Correction,PASS,calculation,success,False,True,12888.8,[],"제가 총급여 6,000만 원인 직장인인데요. 올해 IRP 계좌에만 1,500만 원을 납입했습니다. 이 1,500만 원 전체에 대해 16.5%의 세액공제가 적용되어 약 247만 원을 환급받을 수 있는 게 맞나요?","아님. ① 1,500만 원을 납입할 수는 있으나 세액공제 대상은 최대 900만 원. ② 총급여 6,000만 원이면 공제율은 16.5%가 아니라 13.2%. 따라서 900만 원 × 13.2% = 118만 8,000원.","아닙니다. 문의하신 전제 중 일부는 확인된 정책과 다릅니다. 질문에서 가정하신 공제율 16.5%는 해당 소득구간의 적용 공제율과 다릅니다. 검증된 정책 기준 세액공제액은 1,188,000원입니다. 세액공제 대상 한도 내에서 인정된 납입액 9,000,000원에 실효 공제율 13.2%를 적용했습니다. 납입액 15,000,000원 중 세액공제 대상은 최대 9,000,000원까지입니다."
Test 3,1차 마스터,정보 부족 대응,중,Abstention,PASS,product,clarify,True,False,65.2,[],퇴직연금 DC 계좌에 있는 돈으로 굴릴 만한 가장 수익률 높고 좋은 펀드 하나만 콕 집어서 추천해 주세요.,"투자 성향, 감내 가능한 위험 수준, 투자 기간, 원리금보장형 선호 여부 등이 부족하므로 특정 상품을 단정 추천하면 안 됨. 추가 정보를 질문한 후 적합한 위험등급의 상품군을 비교해야 함.","요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 감수할 수 있는 투자 위험 수준, 예상 투자기간.
- 감수 가능한 위험 수준(예: 원금 변동을 어느 정도 감수할 수 있는지)을 알려주세요.
- 예상 투자기간 또는 연금 수령까지 남은 기간을 알려주세요."
Test 4,1차 마스터,실물이전 예외,상,Procedure,PASS,document,success,False,True,12668.0,[],현재 회사 DC 계좌에서 디폴트옵션 상품을 매수해서 운용 중입니다. 이 계좌 상태 그대로 다른 은행의 DC 계좌로 퇴직연금 실물이전을 신청할 수 있나요? 만약 안 된다면 왜 안 되는지 코드나 근거가 있나요?,실물이전 불가능. 디폴트옵션 상품은 실물이전 불가사유 코드 23번 ‘실물이전불가(디폴트옵션 상품)’에 해당. 이전하려면 상품을 먼저 전량 매도해 현금성 자산으로 전환한 후 이전 신청해야 함.,"아닙니다. 현재 회사 DC 계좌에서 디폴트옵션 상품을 매수해서 운용 중인 상태에서 다른 은행의 DC 계좌로 퇴직연금 실물이전을 신청할 수 없습니다.

그 이유는 ""23. 실물이전불가 | 디폴트옵션 상품""이라는 코드에 명시되어 있으며, 이는 디폴트옵션 상품의 특성 때문에 실물이전이 불가하다는 것을 의미합니다. 또한, DC에서 IRP로 현물이전 후 중도해지 시 중도해지이자율이 적용된다는 점도 고려해야 합니다.

따라서, 디폴트옵션 상품이 포함된 DC 계좌는 실물이전 대신 다른 방법을 통해 처리해야 할 필요가 있습니다. 이와 관련된 자세한 사항은 금융기관에 문의하시기 바랍니다."
Test 5,1차 마스터,상품 비교 SQL+RAG,상,Product,PASS,product,success,True,True,167.1,[],"흥국멀티크레딧증권자투자신탁[채권] 펀드의 '종류 A' 클래스와 '종류 C-e' 클래스의 총보수율(Total Fee)은 각각 연 몇 %이며, 두 클래스의 최근 1년 수익률 성과는 어떻게 다른지 비교해 주세요. 그리고 이 펀드가 주로 투자하는 모펀드의 핵심 투자전략도 함께 설명해 주세요.","종류 A와 C-e의 실제 총보수율·1년 수익률은 DB/문서에서 조회해 제시해야 함. 제공된 대화에서는 수치가 `X.XX%`, `Y.YY%`로 남아 있어 구체적 정답은 없음. 모펀드 \*\*흥국멀티크레딧증권모투자신탁[채권]\*\*은 신탁재산의 60% 이상을 국내 채권에 투자해 비교지수 대비 초과수익을 추구한다고 제시됨. 수치가 확인되지 않으면 ‘확인되지 않음’이라고 답해야 함.","다음 1개를 보여드리겠습니다.
상품 DB의 총보수 값으로 정렬한 결과입니다.
1. 흥국멀티크레딧증권자투자신탁[채권] / 클래스 수수료미징구-오프라인(C) / 위험등급 5(낮은 위험) / 총보수 연 0.343% / 출처 R2_KR5139420015.pdf
근거 출처: 투자설명서 / 상품 DB 기준."
Test 6,2차 마스터,복합 Routing,상,Compound,PASS,document,success,False,True,12196.9,[],"현재 제가 보유한 퇴직연금 DC 계좌에서 운용 중인 TDF 상품의 최근 1년 수익률과 총보수 비율을 보여주시고, 이와 위험등급이 유사한 다른 자산운용사의 국공채 펀드가 있다면 보수율을 비교해 주세요. 더불어 그 국공채 펀드의 핵심 투자 전략도 함께 요약해 주세요.","보유 TDF의 1년 수익률·총보수·위험등급을 조회하고, 동일 위험등급의 타 운용사 국공채 펀드를 찾아 보수율을 비교. 이후 선택된 국공채 펀드의 투자설명서를 검색해 투자전략을 원문 근거로 요약해야 함. 특정 숫자나 상품명은 대화에 정답으로 고정되어 있지 않음.","아닙니다. 현재 제공된 자료에는 특정 TDF 상품의 최근 1년 수익률과 총보수 비율에 대한 정보가 포함되어 있지 않습니다. 또한, 위험등급이 유사한 다른 자산운용사의 국공채 펀드와 그 보수율을 비교하거나 해당 펀드의 핵심 투자 전략을 요약한 내용도 확인되지 않았습니다.

이러한 정보는 일반적으로 금융기관의 공식 웹사이트나 상품 설명서, 혹은 금융 관련 데이터베이스에서 확인할 수 있습니다. 고객님께서 보유하신 퇴직연금 DC 계좌의 운용 상황을 정확히 파악하시려면 해당 금융기관에 문의하시거나, 금융감독원의 통합연금포털과 같은 신뢰할 수 있는 플랫폼을 통해 직접 확인하는 것이 좋습니다. 이를 통해 가장 정확하고 최신의 정보를 얻으실 수 있을 것입니다.

또한, 국공채 펀드의 경우 일반적으로 안정적인 수익을 목표로 하며, 정부나 지방자치단체, 공공기관 등이 발행한 채권에 주로 투자합니다. 이러한 펀드는 일반적으로 시장 변동성에 덜 민감하고, 예금보다 높은 수익을 추구하는 투자자들에게 적합합니다. 그러나 개별 펀드의 투자 전략과 목표는 자산운용사와 펀드 상품에 따라 다를 수 있으므로, 투자 결정을 내리기 전에 반드시 해당 펀드의 투자설명서를 꼼꼼히 검토하시기 바랍니다.

정확한 정보를 확인하려면 금융기관에 직접 문의하거나 금융감독원의 통합연금포털을 참고하시기 바랍니다."
Test 7,2차 마스터,실물이전 코드 매핑,상,Procedure,PASS,document,success,False,True,9794.7,[],"제가 보유하고 있는 퇴직연금 펀드를 다른 금융기관으로 실물이전 신청하려고 합니다. 그런데 이 펀드가 현재 잔고가 35억 원 정도 남은 소규모 펀드라고 하더라고요. 혹시 이 상태 그대로 실물이전이 가능한가요? 안 된다면 정확한 불가 사유 코드와 사유, 그리고 어떻게 처리해야 이전할 수 있는지 가이드를 주십시오.",실물이전 불가능. 잔고 35억 원은 50억 원 미만 소규모 펀드 조건에 해당. 불가사유코드 01 ‘소규모 펀드 임의해지’. 펀드를 먼저 환매·현금화한 뒤 현금성 자산 상태로 이전 접수해야 함.,"네, 질문하신 내용에 대해 확인해 보겠습니다.

현재 보유하고 계신 퇴직연금 펀드가 소규모 펀드(잔고 50억 미만)에 해당하므로, 실물이전이 **불가능**합니다. 이는 ""01. 소규모 펀드 임의해지""에 해당하며, 가입자가 보유한 펀드가 소규모 펀드(잔고 50억 미만) 임의해지 대상 펀드에 해당할 경우 실물이전이 불가하다는 규정 때문입니다.

따라서, 현재 상태로는 실물이전이 불가하며, 펀드를 환매하거나 다른 방법을 통해 현금화한 후 이전 절차를 진행해야 할 것으로 보입니다. 이와 관련된 구체적인 절차나 방법은 금융기관에 직접 문의하여 확인하시는 것이 좋습니다."
Test 8,2차 마스터,디폴트옵션 일정 계산,중,Calculation,PASS,document,success,False,True,16054.0,[],"제 DC 계좌에 가입되어 있던 정기예금 상품이 만기되었습니다. 제가 따로 운용지시를 하지 않고 계속 놔두면, 만기일로부터 정확히 몇 주가 흐른 시점에 디폴트옵션 상품이 자동으로 매수되나요? 구체적인 단계별 진행 일정과 함께 가르쳐주세요.",총 6주(42일). 만기 후 4주 동안 운용지시가 없으면 디폴트옵션 적용 통지 → 통지 후 다시 2주 동안 지시가 없으면 자동 매수.,"맞습니다. DC 계좌에서 정기예금 상품이 만기되었을 때, 별도의 운용지시를 하지 않으면 6주의 유예기간이 지난 후 디폴트 옵션 상품으로 자동 매수됩니다. 구체적인 단계별 진행 일정은 다음과 같습니다:

1. **만기일**: 정기예금 상품이 만기됩니다.
2. **6주의 유예기간**: 만기일로부터 6주 동안은 기존 상품이 유지됩니다.
3. **디폴트 옵션 적용**: 유예기간이 끝난 후, 미리 정해둔 디폴트 옵션 상품으로 자동 매수가 진행됩니다.

따라서, 만기일로부터 정확히 **6주**가 흐른 시점에 디폴트 옵션 상품이 자동으로 매수됩니다."
Test 9,2차 마스터,모자형 펀드 비용,상,Other,PASS,document,success,False,True,11748.5,[],모자형 구조를 가진 자펀드에 가입하려고 합니다. 투자설명서 요약표에 나와 있는 '자신탁의 총보수율(연 0.5%)'만 확인하면 제가 실제로 부담하는 연간 총 비용을 완벽하게 계산한 것이 맞나요? 혹시 추가로 빠져나가는 보수나 비용이 있는지 알려주세요.,"아님. 자신탁 총보수율만으로 실제 총비용을 완전히 파악할 수 없음. \*\*모투자신탁의 보수·기타비용, 증권거래비용, 피투자펀드 보수 등이 포함된 ‘합성 총보수·비용 비율’\*\*을 확인해야 함. 특정 상품명이 없으므로 정확한 합성 보수율은 조회하기 어렵다고 한계를 밝혀야 함.","아닙니다. 자펀드의 총보수율 외에도 추가로 발생할 수 있는 비용들이 있을 수 있습니다.

1. **세금**: 해외 상장된 ETF에 투자할 경우 매매차익에 대해 지방세포함 22%의 양도소득세가 부과되며, 연간 250만원의 기본공제가 적용됩니다. 또한, 분배금은 배당소득세로 과세되기 때문에 금융소득 종합과세의 리스크가 있을 수 있습니다.

2. **세액공제 및 납입한도**: 연금저축 및 IRP에 납입할 경우, 연 900만원까지 세액공제가 가능하며, 최대 148만 5천원(16.5%)의 세금을 절감할 수 있습니다. 다만, 총급여가 5,500만원 초과 시 세액공제율은 13.2%로 변경됩니다.

3. **기타 비용**: 연금계좌 내에서 발생하는 운용수익에 대해 과세이연이 적용되지만, 해외 배당 및 이자에 대한 외국납부세액이 발생하는 펀드/ETF에 투자할 경우 과세이연 효과가 낮아질 수 있습니다.

따라서 자펀드에 가입할 때는 총보수율 외에도 이러한 추가적인 세금 및 비용들을 고려하여 실제 부담하는 연간 총 비용을 계산해야 합니다."
Test 10,2차 마스터,세법 전제 오류 교정,상,Correction,PASS,document,success,False,True,14125.7,[],올해 IRP 계좌에 퇴직금 1억 원을 일시에 이체하여 연금으로 수령하려고 준비 중입니다. 제가 알기로는 퇴직금을 IRP에 넣고 연금으로 받기만 하면 기간에 상관없이 퇴직소득세의 50%를 무조건 깎아준다고 하던데 맞나요? 올해 바로 연금 수령을 시작하면 세금을 얼마나 아낄 수 있는지 알려주세요.,"‘무조건 50% 감면’은 잘못된 전제. 대화에서 제시된 기준상 연금수령 연차가 10년 이하이면 퇴직소득세의 30% 감면, 10년 초과이면 40% 감면. 올해 1년 차로 수령을 시작한다면 30%를 절감한다고 답하도록 제시됨.","아닙니다. 퇴직소득세의 50%를 무조건 깎아주는 것은 아닙니다. 연금으로 수령할 경우 퇴직소득세는 30%에서 50% 사이로 감면됩니다. 즉, 퇴직소득세의 절반 이상을 절약할 수 있지만, 정확히 50%를 깎아주는 것은 아닙니다.

예를 들어, 퇴직금이 1억 원일 때 일시금으로 수령하면 퇴직소득세를 100% 즉시 납부해야 합니다. 하지만 연금으로 수령하면 퇴직소득세를 30%에서 50% 감면받을 수 있습니다. 따라서 퇴직소득세를 최대 5천만 원까지 절약할 수 있습니다.

연금 수령 시에는 퇴직소득세 감면 외에도 IRP 내 운용수익에 대한 과세가 연금을 받을 때까지 이연되며, 사적연금소득이 건강보험료 산정에서 제외되는 추가적인 혜택도 있습니다.

따라서 퇴직금을 IRP 계좌에 넣고 연금으로 수령하면 세금 절감 효과가 크지만, 정확한 감면율은 30%에서 50% 사이입니다. 출처: doc51.docx, 문서 1."
